pub_year,country_code,cpc_broad_class,patent_count
1905,DE,Data process related,1
1905,FR,Agriculture related,272
1905,FR,Data process related,129
1905,FR,Mining related,59
1905,GB,Agriculture related,3
1905,SE,Agriculture related,58
1905,US,Agriculture related,1603
1905,US,Data process related,310
1905,US,Mining related,171
1906,AT,Mining related,1
1906,CH,Agriculture related,1
1906,DE,Agriculture related,65
1906,DE,Data process related,8
1906,FI,Data process related,1
1906,FR,Agriculture related,297
1906,FR,Data process related,163
1906,FR,Mining related,52
1906,GB,Agriculture related,4
1906,SE,Agriculture related,74
1906,SE,Mining related,3
1906,US,Agriculture related,1628
1906,US,Data process related,322
1906,US,Mining related,164
1907,AT,Mining related,1
1907,DE,Agriculture related,60
1907,DE,Data process related,3
1907,DE,Mining related,3
1907,FR,Agriculture related,279
1907,FR,Data process related,146
1907,FR,Mining related,62
1907,GB,Agriculture related,7
1907,GB,Mining related,2
1907,SE,Agriculture related,114
1907,SE,Data process related,1
1907,SE,Mining related,2
1907,US,Agriculture related,1822
1907,US,Data process related,410
1907,US,Mining related,205
1908,AT,Agriculture related,1
1908,CH,Data process related,2
1908,DE,Agriculture related,51
1908,DE,Data process related,5
1908,DE,Mining related,1
1908,FR,Agriculture related,265
1908,FR,Data process related,155
1908,FR,Mining related,43
1908,GB,Agriculture related,9
1908,GB,Data process related,1
1908,GB,Mining related,3
1908,SE,Agriculture related,139
1908,SE,Mining related,2
1908,US,Agriculture related,1775
1908,US,Data process related,432
1908,US,Mining related,196
1909,AT,Agriculture related,1
1909,CH,Agriculture related,1
1909,CH,Data process related,1
1909,DE,Agriculture related,65
1909,DE,Data process related,14
1909,FR,Agriculture related,337
1909,FR,Data process related,152
1909,FR,Mining related,38
1909,GB,Agriculture related,152
1909,GB,Data process related,42
1909,GB,Mining related,19
1909,SE,Agriculture related,118
1909,SE,Mining related,2
1909,US,Agriculture related,1771
1909,US,Data process related,429
1909,US,Mining related,147
1910,AT,Agriculture related,2
1910,AT,Data process related,1
1910,AU,Agriculture related,1
1910,CH,Data process related,1
1910,DE,Agriculture related,71
1910,DE,Data process related,9
1910,DK,Agriculture related,1
1910,FR,Agriculture related,318
1910,FR,Data process related,188
1910,FR,Mining related,56
1910,GB,Agriculture related,352
1910,GB,Data process related,140
1910,GB,Mining related,87
1910,SE,Agriculture related,142
1910,SE,Mining related,3
1910,US,Agriculture related,1843
1910,US,Data process related,405
1910,US,Mining related,203
1911,AT,Agriculture related,3
1911,DE,Agriculture related,95
1911,DE,Data process related,7
1911,FR,Agriculture related,424
1911,FR,Data process related,157
1911,FR,Mining related,48
1911,GB,Agriculture related,356
1911,GB,Data process related,166
