"year","country","agr_pat","dat_pat","min_pat","ene_pat","all_pat","TIDR_all","TIDR_agr","TIDR_min","TIDR_log","TIDR_nuc","TIDR_wind","TIDR_solar","TIDR_bio"
1993,"Argentina",105,57,11,11,184,49.3487698986975,50.4587155963303,40,54.4871794871795,50,32.7160493827161,58.2677165354331,63.7931034482759
1993,"Austria",345,342,92,49,828,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Australia",763,1035,310,89,2197,-32.3462414578588,-46.4052287581699,-85.7142857142857,-44.3181818181818,-21.4285714285714,-16.5938864628821,-29.585798816568,-8.33333333333333
1993,"Belgium",51,33,11,4,99,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Bulgaria",41,8,4,12,65,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Brazil",92,113,40,36,281,-92.2547332185886,-137.623762376238,-48.4848484848485,-175.961538461538,-78.3783783783784,-114.012738853503,15.7894736842105,-22.8571428571429
1993,"Canada",716,1615,385,104,2820,-120.236336779911,-90.9090909090909,-74.1935483870968,-189.189189189189,-286.666666666667,-83.7988826815643,-91.1111111111111,-127.272727272727
1993,"Switzerland",28,44,9,2,83,-139.659367396594,-152.991452991453,-103.571428571429,-192.592592592593,-189.795918367347,-168.544600938967,-63.4920634920635,-87.5
1993,"China",127,365,29,297,818,-49.3603411513859,-82.1917808219178,-14.2857142857143,-88.8888888888889,2.32558139534884,-24.8847926267281,-102.255639097744,31.5789473684211
1993,"Cyprus",1,NA,NA,NA,1,71.4893617021277,84.4155844155844,100,57.5471698113208,74.1935483870968,64.4067796610169,72.7272727272727,91.8918918918919
1993,"Czechia",56,19,10,73,158,-20.0545702592087,-17.910447761194,-6.45161290322581,-60.1190476190476,-15.3846153846154,-48.5074626865672,29.8507462686567,22.3880597014925
1993,"Germany",1967,5130,648,296,8041,-158.781594296824,-170.464135021097,-231.428571428571,-196.666666666667,-203.846153846154,-115.037593984962,-121.122112211221,-196.923076923077
1993,"Denmark",262,101,26,32,421,-151.381215469613,-204.444444444444,-160,-165.432098765432,-205.660377358491,-170.779220779221,-58.8235294117647,-101.694915254237
1993,"Ecuador",2,1,2,NA,5,90.6921241050119,94.2528735632184,88.8888888888889,83.9622641509434,100,89.4736842105263,96.078431372549,90.625
1993,"Egypt",22,2,5,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Spain",237,225,52,48,562,-76.1261261261261,-98.0392156862745,-39.5348837209302,-94.8453608247423,-94.5454545454545,-81.4634146341463,-40.5882352941176,-54.4117647058823
1993,"Finland",187,216,93,55,551,-84.9315068493151,-87.8260869565217,-186.95652173913,-172.142857142857,-50.8771929824561,-75.8620689655172,-55.5555555555556,16.1764705882353
1993,"France",669,941,131,90,1831,NA,NA,NA,NA,NA,NA,NA,NA
1993,"United Kingdom",678,1832,481,81,3072,-158.304378040306,-195.522388059702,-249.122807017544,-192.705167173252,-234.042553191489,-106.435643564356,-119.087136929461,-152.212389380531
1993,"Greece",144,71,19,25,259,42.1779141104294,53.8461538461538,55,32.7683615819209,37.1428571428571,43.8461538461538,27.2727272727273,72
1993,"Hong Kong SAR China",6,110,1,NA,117,-48.5496183206107,34.5238095238095,64.2857142857143,-5.19480519480519,4.16666666666667,-105.232558139535,-142.635658914729,15
1993,"Hungary",205,74,10,35,324,33.8562091503268,33.3333333333333,28,40,16.3265306122449,17.1428571428571,46.218487394958,58.8235294117647
1993,"Ireland",47,26,4,7,84,30.3030303030303,32.8,56.25,14.6341463414634,65.2173913043478,17.5,27.0833333333333,71.4285714285714
1993,"Israel",191,112,2,10,315,NA,NA,NA,NA,NA,NA,NA,NA
1993,"India",5,1,4,7,17,-40.3087478559177,-77.6595744680851,-52.1739130434783,-152.054794520548,-43.75,-12.7659574468085,26.4957264957265,-62.5
1993,"Iceland",3,NA,NA,NA,3,93.3503836317136,100,100,78.494623655914,100,98.0769230769231,94.5205479452055,100
1993,"Italy",165,263,32,14,474,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Jordan",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Japan",634,8231,114,9581,18560,-310.957004160888,-169.642857142857,-139.473684210526,-550,-364.444444444444,-291.351351351351,-209.876543209877,-494.117647058824
1993,"South Korea",760,5268,41,94,6163,-52.9829545454545,28.3185840707965,11.6279069767442,-182.706766917293,-22.8070175438596,-41.1764705882353,-69.0476190476191,4.83870967741935
1993,"Lithuania",1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Latvia",3,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Morocco",18,NA,NA,1,19,91.2393162393162,95.7746478873239,96,92.9824561403509,100,85.981308411215,85.5263157894737,91.1764705882353
1993,"Monaco",1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Mexico",202,178,88,20,488,33.2258064516129,33.3333333333333,77.1428571428572,22.5806451612903,57.1428571428571,21.9101123595506,37.3737373737374,41.8604651162791
