period,reporterDesc,id,flowDesc,partnerDesc,cmdCode,cmdDesc,fobvalue,Category
1989,Switzerland,51722966,Export,Norway,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",737324,Agriculture
1989,Switzerland,96643532,Export,"China, Hong Kong SAR",9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",1560619,Logistics
1989,Switzerland,96377429,Export,Yugoslavia (...1991),8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",3895,Logistics
1989,Switzerland,99838108,Export,Portugal,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",156708,Agriculture
1989,Thailand,54836374,Export,Australia,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",125901,Logistics
1989,Thailand,51236178,Export,Sri Lanka,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",1794,Agriculture
1989,Türkiye,49765588,Import,Sweden,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1990,Australia,98885291,Export,Cyprus,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",778,Logistics
1990,Australia,45388548,Import,USA,8704,Vehicles; for the transport of goods,138555380,Logistics
1990,Australia,45904513,Import,China,8701,Tractors; (other than tractors of heading no 8709),202785,Logistics
1990,Bangladesh,45078251,Import,USSR (...1990),8701,Tractors; (other than tractors of heading no 8709),NA,Logistics
1990,Brazil,100575769,Export,Canada,8434,Milking machines and dairy machinery,4487,Agriculture
1990,Brazil,53019581,Export,Spain,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",6441984,Logistics
1990,Brazil,98425700,Export,Portugal,8704,Vehicles; for the transport of goods,240000,Logistics
1990,Canada,51988015,Export,Sudan (...2011),8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",7682,Agriculture
1990,Canada,53248212,Export,New Zealand,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",596303,Logistics
1990,Canada,97697154,Export,Indonesia,8704,Vehicles; for the transport of goods,161244,Logistics
1990,Chile,48412517,Import,USA,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",NA,Logistics
1990,Cyprus,55124285,Export,Colombia,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,11011,Logistics
1990,Denmark,99039707,Export,Zambia,847420,"Machines; for crushing or grinding earth, stone, ores or other mineral substances",250369,Mining
1990,Denmark,52546397,Export,United Rep. of Tanzania,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",500144,Logistics
1990,Denmark,97246083,Export,Bolivia (Plurinational State of),8704,Vehicles; for the transport of goods,454763,Logistics
1990,Denmark,44346801,Import,USA,8701,Tractors; (other than tractors of heading no 8709),NA,Logistics
1990,Fed. Rep. of Germany (...1990),47394585,Import,United Kingdom,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",NA,Agriculture
1990,Fed. Rep. of Germany (...1990),54494780,Export,Belgium-Luxembourg (...1998),8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",49061000,Logistics
1990,Fed. Rep. of Germany (...1990),51677988,Export,Burkina Faso,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",62000,Agriculture
1990,Fed. Rep. of Germany (...1990),53545686,Export,Bolivia (Plurinational State of),8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,34000,Logistics
1990,Fed. Rep. of Germany (...1990),99872495,Export,Portugal,843039,Coal or rock cutters and tunnelling machinery; not self-propelled,190000,Agriculture
